Number of Vehicles in Lane 1,Number of Vehicles in Lane 2,Number of Vehicles in Lane 3,Number of Vehicles in Lane 4,Lane 1 Traffic Flow,Lane 2 Traffic Flow,Lane 3 Traffic Flow,Lane 4 Traffic Flow,Lane 1 On Time,Lane 2 On Time,Lane 3 On Time,Lane 4 On Time,Lane 1 Saturation Flow,Lane 2 Saturation Flow,Lane 3 Saturation Flow,Lane 4 Saturation Flow,Lane 1 Flow Ratio,Lane 2 Flow Ratio,Lane 3 Flow Ratio,Lane 4 Flow Ratio,Total Flow Ratio,Optimum Cycle Time,Width of Lane 1,Width of Lane 2,Width of Lane 3,Width of Lane 4,Intergreen Period,Amber Period,Number of Phases,Initial Delay,Minimum On Time,Maximum Cycle Time,Total Time Lost
14,10,31,24,16.25,14.25,44.5,26.5,10.0,10.0,25.0,15.0,180.0,180.0,180.0,180.0,0.09027777777777778,0.07916666666666666,0.24722222222222223,0.14722222222222223,0.5638888888888889,75,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
16,26,42,26,20.5,29.41,56.5,41.5,14.0,21.0,40.0,29.0,180.0,180.0,180.0,180.0,0.11388888888888889,0.1633888888888889,0.3138888888888889,0.23055555555555557,0.8217222222222222,120,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
34,4,38,33,45.75,4.0,51.25,46.5,30.0,10.0,34.0,31.0,180.0,180.0,180.0,180.0,0.25416666666666665,0.022222222222222223,0.2847222222222222,0.25833333333333336,0.8194444444444444,120,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
30,27,16,25,33.5,34.25,23.0,36.0,22.0,23.0,15.0,24.0,180.0,180.0,180.0,180.0,0.18611111111111112,0.19027777777777777,0.12777777777777777,0.2,0.7041666666666666,100,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
16,42,2,16,23.0,65.0,2.75,17.0,13.0,37.0,10.0,11.0,180.0,180.0,180.0,180.0,0.12777777777777777,0.3611111111111111,0.015277777777777777,0.09444444444444444,0.5986111111111111,85,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
37,32,0,16,53.25,38.65,0.0,17.0,29.0,21.0,10.0,11.0,180.0,180.0,180.0,180.0,0.29583333333333334,0.2147222222222222,0.0,0.09444444444444444,0.605,85,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
0,26,12,25,0.0,29.41,19.5,42.5,10.0,14.0,12.0,20.0,180.0,180.0,180.0,180.0,0.0,0.1633888888888889,0.10833333333333334,0.2361111111111111,0.5078333333333334,70,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
42,22,14,17,65.0,32.58,22.25,30.5,45.0,23.0,15.0,21.0,180.0,180.0,180.0,180.0,0.3611111111111111,0.181,0.12361111111111112,0.16944444444444445,0.8351666666666666,120,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
25,24,24,24,37.25,33.0,26.5,33.0,26.0,23.0,18.0,23.0,180.0,180.0,180.0,180.0,0.20694444444444443,0.18333333333333332,0.14722222222222223,0.18333333333333332,0.7208333333333333,105,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
25,29,42,9,36.0,41.25,56.5,12.5,25.0,29.0,40.0,10.0,180.0,180.0,180.0,180.0,0.2,0.22916666666666666,0.3138888888888889,0.06944444444444445,0.8125,120,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
12,32,25,27,14.25,38.65,37.25,34.25,10.0,26.0,25.0,23.0,180.0,180.0,180.0,180.0,0.07916666666666666,0.2147222222222222,0.20694444444444443,0.19027777777777777,0.691111111111111,100,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
32,4,9,42,38.65,4.0,10.75,65.0,24.0,10.0,10.0,40.0,180.0,180.0,180.0,180.0,0.2147222222222222,0.022222222222222223,0.059722222222222225,0.3611111111111111,0.6577777777777778,100,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
24,24,3,1,26.5,32.25,3.0,1.0,12.0,16.0,10.0,10.0,180.0,180.0,180.0,180.0,0.14722222222222223,0.17916666666666667,0.016666666666666666,0.005555555555555556,0.3486111111111111,65,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
4,0,16,24,4.0,0.0,23.0,33.0,10.0,10.0,12.0,17.0,180.0,180.0,180.0,180.0,0.022222222222222223,0.0,0.12777777777777777,0.18333333333333332,0.3333333333333333,65,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
0,3,24,18,0.0,2.0,32.25,21.25,10.0,10.0,17.0,11.0,180.0,180.0,180.0,180.0,0.0,0.011111111111111112,0.17916666666666667,0.11805555555555555,0.30833333333333335,65,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
24,14,14,25,33.0,22.25,16.25,42.5,20.0,12.0,10.0,25.0,180.0,180.0,180.0,180.0,0.18333333333333332,0.12361111111111112,0.09027777777777778,0.2361111111111111,0.6333333333333333,85,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
9,0,26,16,12.5,0.0,41.5,20.5,10.0,10.0,19.0,13.0,180.0,180.0,180.0,180.0,0.06944444444444445,0.0,0.23055555555555557,0.11388888888888889,0.4138888888888889,65,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
22,42,24,24,32.58,65.0,32.25,26.5,22.0,43.0,21.0,18.0,180.0,180.0,180.0,180.0,0.181,0.3611111111111111,0.17916666666666667,0.14722222222222223,0.8685,120,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
42,24,25,9,56.5,38.0,42.5,12.5,39.0,26.0,29.0,10.0,180.0,180.0,180.0,180.0,0.3138888888888889,0.2111111111111111,0.2361111111111111,0.06944444444444445,0.8305555555555555,120,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
42,22,18,19,56.5,32.58,28.75,26.75,41.0,23.0,21.0,19.0,180.0,180.0,180.0,180.0,0.3138888888888889,0.181,0.1597222222222222,0.1486111111111111,0.8032222222222222,120,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
0,9,22,2,0.0,12.5,32.58,2.75,10.0,10.0,17.0,10.0,180.0,180.0,180.0,180.0,0.0,0.06944444444444445,0.181,0.015277777777777777,0.26572222222222225,60,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
16,18,24,38,20.5,28.75,38.0,51.25,15.0,22.0,29.0,38.0,180.0,180.0,180.0,180.0,0.11388888888888889,0.1597222222222222,0.2111111111111111,0.2847222222222222,0.7694444444444444,120,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
30,14,37,18,43.75,16.25,53.25,28.75,32.0,12.0,39.0,21.0,180.0,180.0,180.0,180.0,0.24305555555555555,0.09027777777777778,0.29583333333333334,0.1597222222222222,0.7888888888888889,120,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
4,37,14,0,4.0,53.25,16.25,0.0,10.0,25.0,10.0,10.0,180.0,180.0,180.0,180.0,0.022222222222222223,0.29583333333333334,0.09027777777777778,0.0,0.4083333333333333,70,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
18,26,25,24,28.75,41.5,42.5,29.0,21.0,30.0,31.0,21.0,180.0,180.0,180.0,180.0,0.1597222222222222,0.23055555555555557,0.2361111111111111,0.16111111111111112,0.7875,120,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
30,14,1,25,33.5,22.25,0.33,42.5,17.0,11.0,10.0,21.0,180.0,180.0,180.0,180.0,0.18611111111111112,0.12361111111111112,0.0018333333333333335,0.2361111111111111,0.5476666666666667,75,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
9,0,37,17,10.75,0.0,50.33,26.5,10.0,10.0,25.0,13.0,180.0,180.0,180.0,180.0,0.059722222222222225,0.0,0.2796111111111111,0.14722222222222223,0.4865555555555555,75,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
26,4,19,25,41.5,5.5,26.75,37.25,25.0,10.0,16.0,22.0,180.0,180.0,180.0,180.0,0.23055555555555557,0.030555555555555555,0.1486111111111111,0.20694444444444443,0.6166666666666667,90,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
38,38,34,7,66.75,51.25,45.75,11.0,39.0,30.0,26.0,10.0,180.0,180.0,180.0,180.0,0.37083333333333335,0.2847222222222222,0.25416666666666665,0.06111111111111111,0.9708333333333333,120,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
9,29,7,1,12.5,41.25,11.0,1.0,10.0,23.0,10.0,10.0,180.0,180.0,180.0,180.0,0.06944444444444445,0.22916666666666666,0.06111111111111111,0.005555555555555556,0.36527777777777776,70,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
12,38,25,3,25.25,51.25,42.5,2.0,16.0,32.0,26.0,10.0,180.0,180.0,180.0,180.0,0.14027777777777778,0.2847222222222222,0.2361111111111111,0.011111111111111112,0.6722222222222222,100,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
37,24,29,27,53.25,26.5,41.25,42.33,34.0,17.0,26.0,27.0,180.0,180.0,180.0,180.0,0.29583333333333334,0.14722222222222223,0.22916666666666666,0.23516666666666666,0.9073888888888888,120,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
26,24,24,0,29.41,29.0,33.0,0.0,14.0,14.0,16.0,10.0,180.0,180.0,180.0,180.0,0.1633888888888889,0.16111111111111112,0.18333333333333332,0.0,0.5078333333333334,70,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
12,26,27,25,19.5,41.5,34.25,37.25,14.0,29.0,24.0,26.0,180.0,180.0,180.0,180.0,0.10833333333333334,0.23055555555555557,0.19027777777777777,0.20694444444444443,0.7361111111111112,110,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
18,25,27,4,21.25,36.0,31.83,5.5,11.0,20.0,18.0,10.0,180.0,180.0,180.0,180.0,0.11805555555555555,0.2,0.17683333333333331,0.030555555555555555,0.5254444444444444,75,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
37,5,27,9,53.25,10.5,42.33,12.5,33.0,10.0,26.0,10.0,180.0,180.0,180.0,180.0,0.29583333333333334,0.058333333333333334,0.23516666666666666,0.06944444444444445,0.6587777777777778,95,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
7,24,5,14,11.0,33.0,10.5,22.25,10.0,18.0,10.0,14.0,180.0,180.0,180.0,180.0,0.06111111111111111,0.18333333333333332,0.058333333333333334,0.12361111111111112,0.4263888888888889,65,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
0,9,4,12,0.0,10.75,5.5,14.25,10.0,10.0,10.0,9.0,180.0,180.0,180.0,180.0,0.0,0.059722222222222225,0.030555555555555555,0.07916666666666666,0.16944444444444445,50,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
29,16,9,22,41.25,24.75,12.5,32.58,25.0,14.0,10.0,19.0,180.0,180.0,180.0,180.0,0.22916666666666666,0.1375,0.06944444444444445,0.181,0.6171111111111112,85,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
9,14,38,4,10.75,22.25,51.25,4.0,10.0,12.0,27.0,10.0,180.0,180.0,180.0,180.0,0.059722222222222225,0.12361111111111112,0.2847222222222222,0.022222222222222223,0.49027777777777776,75,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
30,18,37,42,43.75,28.75,53.25,56.5,25.0,16.0,30.0,32.0,180.0,180.0,180.0,180.0,0.24305555555555555,0.1597222222222222,0.29583333333333334,0.3138888888888889,1.0125,120,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
0,16,27,3,0.0,20.5,34.25,3.0,10.0,14.0,18.0,10.0,180.0,180.0,180.0,180.0,0.0,0.11388888888888889,0.19027777777777777,0.016666666666666666,0.3208333333333333,65,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
42,32,7,1,56.5,38.65,11.0,0.33,32.0,22.0,10.0,10.0,180.0,180.0,180.0,180.0,0.3138888888888889,0.2147222222222222,0.06111111111111111,0.0018333333333333335,0.5915555555555556,90,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
14,25,4,3,16.25,36.0,5.5,3.0,10.0,19.0,10.0,10.0,180.0,180.0,180.0,180.0,0.09027777777777778,0.2,0.030555555555555555,0.016666666666666666,0.3375,65,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
16,22,26,14,24.75,32.58,41.5,16.25,15.0,20.0,25.0,10.0,180.0,180.0,180.0,180.0,0.1375,0.181,0.23055555555555557,0.09027777777777778,0.6393333333333334,85,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
24,38,16,26,33.0,51.25,23.0,41.5,23.0,36.0,16.0,29.0,180.0,180.0,180.0,180.0,0.18333333333333332,0.2847222222222222,0.12777777777777777,0.23055555555555557,0.8263888888888888,120,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
18,26,38,12,21.25,29.41,51.25,19.5,13.0,18.0,31.0,12.0,180.0,180.0,180.0,180.0,0.11805555555555555,0.1633888888888889,0.2847222222222222,0.10833333333333334,0.6745000000000001,90,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
25,26,0,14,36.0,29.41,0.0,22.25,18.0,15.0,10.0,14.0,180.0,180.0,180.0,180.0,0.2,0.1633888888888889,0.0,0.12361111111111112,0.487,70,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
3,14,24,4,3.0,22.25,26.5,4.0,10.0,12.0,14.0,10.0,180.0,180.0,180.0,180.0,0.016666666666666666,0.12361111111111112,0.14722222222222223,0.022222222222222223,0.3097222222222222,60,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
14,16,14,30,22.25,24.75,22.25,33.5,12.0,13.0,12.0,18.0,180.0,180.0,180.0,180.0,0.12361111111111112,0.1375,0.12361111111111112,0.18611111111111112,0.5708333333333333,70,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
0,10,17,30,0.0,14.25,26.5,33.5,10.0,10.0,13.0,17.0,180.0,180.0,180.0,180.0,0.0,0.07916666666666666,0.14722222222222223,0.18611111111111112,0.4125,65,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
