Number of Vehicles in Lane 1,Number of Vehicles in Lane 2,Number of Vehicles in Lane 3,Number of Vehicles in Lane 4,Lane 1 Traffic Flow,Lane 2 Traffic Flow,Lane 3 Traffic Flow,Lane 4 Traffic Flow,Lane 1 On Time,Lane 2 On Time,Lane 3 On Time,Lane 4 On Time,Lane 1 Saturation Flow,Lane 2 Saturation Flow,Lane 3 Saturation Flow,Lane 4 Saturation Flow,Lane 1 Flow Ratio,Lane 2 Flow Ratio,Lane 3 Flow Ratio,Lane 4 Flow Ratio,Total Flow Ratio,Optimum Cycle Time,Width of Lane 1,Width of Lane 2,Width of Lane 3,Width of Lane 4,Intergreen Period,Amber Period,Number of Phases,Initial Delay,Minimum On Time,Maximum Cycle Time,Total Time Lost
24,19,7,12,29.0,26.75,11.0,14.25,14.0,13.0,10.0,10.0,180.0,180.0,180.0,180.0,0.16111111111111112,0.1486111111111111,0.06111111111111111,0.07916666666666666,0.45,65,10,10,10,10,4,2,4,0,10,120,16
24,42,14,10,26.5,56.5,22.25,14.25,17.0,37.0,14.0,10.0,180.0,180.0,180.0,180.0,0.14722222222222223,0.3138888888888889,0.12361111111111112,0.07916666666666666,0.663888888888889,95,10,10,10,10,4,2,4,0,10,120,16
42,12,10,26,56.5,14.25,14.25,41.5,39.0,10.0,10.0,29.0,180.0,180.0,180.0,180.0,0.3138888888888889,0.07916666666666666,0.07916666666666666,0.23055555555555557,0.7027777777777777,105,10,10,10,10,4,2,4,0,10,120,16
14,26,16,30,22.25,41.5,20.5,43.75,15.0,29.0,14.0,30.0,180.0,180.0,180.0,180.0,0.12361111111111112,0.23055555555555557,0.11388888888888889,0.24305555555555555,0.7111111111111111,105,10,10,10,10,4,2,4,0,10,120,16
14,33,7,24,22.25,46.5,11.0,32.25,13.0,27.0,10.0,19.0,180.0,180.0,180.0,180.0,0.12361111111111112,0.25833333333333336,0.06111111111111111,0.17916666666666667,0.6222222222222222,85,10,10,10,10,4,2,4,0,10,120,16
32,31,30,33,38.65,44.5,33.5,46.5,25.0,28.0,21.0,30.0,180.0,180.0,180.0,180.0,0.2147222222222222,0.24722222222222223,0.18611111111111112,0.25833333333333336,0.9063888888888889,120,10,10,10,10,4,2,4,0,10,120,16
17,25,22,26,30.5,42.5,32.58,29.41,23.0,33.0,25.0,23.0,180.0,180.0,180.0,180.0,0.16944444444444445,0.2361111111111111,0.181,0.1633888888888889,0.7499444444444444,120,10,10,10,10,4,2,4,0,10,120,16
27,42,14,12,42.33,65.0,22.25,25.25,28.0,44.0,15.0,17.0,180.0,180.0,180.0,180.0,0.23516666666666666,0.3611111111111111,0.12361111111111112,0.14027777777777778,0.8601666666666667,120,10,10,10,10,4,2,4,0,10,120,16
37,14,27,25,53.25,16.25,31.83,37.25,40.0,12.0,24.0,28.0,180.0,180.0,180.0,180.0,0.29583333333333334,0.09027777777777778,0.17683333333333331,0.20694444444444443,0.7698888888888888,120,10,10,10,10,4,2,4,0,10,120,16
18,10,16,9,21.25,14.25,20.5,10.75,11.0,10.0,11.0,10.0,180.0,180.0,180.0,180.0,0.11805555555555555,0.07916666666666666,0.11388888888888889,0.059722222222222225,0.37083333333333335,60,10,10,10,10,4,2,4,0,10,120,16
33,16,1,24,46.5,24.75,0.33,32.25,24.0,13.0,10.0,17.0,180.0,180.0,180.0,180.0,0.25833333333333336,0.1375,0.0018333333333333335,0.17916666666666667,0.5768333333333334,80,10,10,10,10,4,2,4,0,10,120,16
9,26,10,0,12.5,29.41,14.25,0.0,10.0,17.0,10.0,10.0,180.0,180.0,180.0,180.0,0.06944444444444445,0.1633888888888889,0.07916666666666666,0.0,0.312,65,10,10,10,10,4,2,4,0,10,120,16
38,16,12,27,66.75,24.75,19.5,31.83,49.0,18.0,14.0,23.0,180.0,180.0,180.0,180.0,0.37083333333333335,0.1375,0.10833333333333334,0.17683333333333331,0.7935,120,10,10,10,10,4,2,4,0,10,120,16
24,18,26,9,32.25,28.75,29.41,10.75,18.0,16.0,16.0,10.0,180.0,180.0,180.0,180.0,0.17916666666666667,0.1597222222222222,0.1633888888888889,0.059722222222222225,0.562,75,10,10,10,10,4,2,4,0,10,120,16
31,30,30,38,44.5,43.75,33.5,51.25,27.0,26.0,20.0,31.0,180.0,180.0,180.0,180.0,0.24722222222222223,0.24305555555555555,0.18611111111111112,0.2847222222222222,0.9611111111111111,120,10,10,10,10,4,2,4,0,10,120,16
21,34,1,18,28.0,45.75,1.0,28.75,15.0,24.0,10.0,15.0,180.0,180.0,180.0,180.0,0.15555555555555556,0.25416666666666665,0.005555555555555556,0.1597222222222222,0.575,80,10,10,10,10,4,2,4,0,10,120,16
24,27,14,21,26.5,31.83,16.25,28.0,14.0,18.0,10.0,16.0,180.0,180.0,180.0,180.0,0.14722222222222223,0.17683333333333331,0.09027777777777778,0.15555555555555556,0.5698888888888889,75,10,10,10,10,4,2,4,0,10,120,16
16,37,16,12,24.75,53.25,23.0,25.25,16.0,35.0,15.0,17.0,180.0,180.0,180.0,180.0,0.1375,0.29583333333333334,0.12777777777777777,0.14027777777777778,0.7013888888888888,100,10,10,10,10,4,2,4,0,10,120,16
14,4,9,19,22.25,4.0,10.75,26.75,10.0,10.0,10.0,13.0,180.0,180.0,180.0,180.0,0.12361111111111112,0.022222222222222223,0.059722222222222225,0.1486111111111111,0.3541666666666667,60,10,10,10,10,4,2,4,0,10,120,16
30,18,34,18,43.75,21.25,45.75,28.75,33.0,16.0,34.0,21.0,180.0,180.0,180.0,180.0,0.24305555555555555,0.11805555555555555,0.25416666666666665,0.1597222222222222,0.775,120,10,10,10,10,4,2,4,0,10,120,16
16,4,25,24,17.0,4.0,36.0,32.25,10.0,10.0,18.0,16.0,180.0,180.0,180.0,180.0,0.09444444444444444,0.022222222222222223,0.2,0.17916666666666667,0.49583333333333335,70,10,10,10,10,4,2,4,0,10,120,16
38,2,16,30,66.75,2.75,23.0,43.75,47.0,10.0,16.0,31.0,180.0,180.0,180.0,180.0,0.37083333333333335,0.015277777777777777,0.12777777777777777,0.24305555555555555,0.7569444444444444,120,10,10,10,10,4,2,4,0,10,120,16
7,18,34,17,11.0,21.25,45.75,26.5,10.0,12.0,24.0,14.0,180.0,180.0,180.0,180.0,0.06111111111111111,0.11805555555555555,0.25416666666666665,0.14722222222222223,0.5805555555555556,75,10,10,10,10,4,2,4,0,10,120,16
25,19,26,33,36.0,26.75,29.41,46.5,27.0,20.0,22.0,35.0,180.0,180.0,180.0,180.0,0.2,0.1486111111111111,0.1633888888888889,0.25833333333333336,0.7703333333333333,120,10,10,10,10,4,2,4,0,10,120,16
14,2,14,12,22.25,2.75,16.25,25.25,11.0,10.0,11.0,13.0,180.0,180.0,180.0,180.0,0.12361111111111112,0.015277777777777777,0.09027777777777778,0.14027777777777778,0.36944444444444446,60,10,10,10,10,4,2,4,0,10,120,16
14,0,3,27,22.25,0.0,3.0,31.83,11.0,10.0,10.0,17.0,180.0,180.0,180.0,180.0,0.12361111111111112,0.0,0.016666666666666666,0.17683333333333331,0.3171111111111111,65,10,10,10,10,4,2,4,0,10,120,16
12,3,24,24,19.5,2.0,26.5,29.0,10.0,10.0,14.0,15.0,180.0,180.0,180.0,180.0,0.10833333333333334,0.011111111111111112,0.14722222222222223,0.16111111111111112,0.4277777777777778,65,10,10,10,10,4,2,4,0,10,120,16
32,25,17,42,38.65,42.5,26.5,65.0,23.0,26.0,16.0,39.0,180.0,180.0,180.0,180.0,0.2147222222222222,0.2361111111111111,0.14722222222222223,0.3611111111111111,0.9591666666666667,120,10,10,10,10,4,2,4,0,10,120,16
32,0,7,18,38.65,0.0,11.0,21.25,20.0,10.0,10.0,14.0,180.0,180.0,180.0,180.0,0.2147222222222222,0.0,0.06111111111111111,0.11805555555555555,0.39388888888888884,65,10,10,10,10,4,2,4,0,10,120,16
5,19,34,26,10.5,26.75,45.75,41.5,10.0,17.0,30.0,27.0,180.0,180.0,180.0,180.0,0.058333333333333334,0.1486111111111111,0.25416666666666665,0.23055555555555557,0.6916666666666667,100,10,10,10,10,4,2,4,0,10,120,16
25,1,3,2,37.25,0.33,3.0,2.75,21.0,10.0,10.0,10.0,180.0,180.0,180.0,180.0,0.20694444444444443,0.0018333333333333335,0.016666666666666666,0.015277777777777777,0.2407222222222222,65,10,10,10,10,4,2,4,0,10,120,16
16,12,0,4,17.0,14.25,0.0,4.0,12.0,10.0,10.0,10.0,180.0,180.0,180.0,180.0,0.09444444444444444,0.07916666666666666,0.0,0.022222222222222223,0.19583333333333333,60,10,10,10,10,4,2,4,0,10,120,16
1,31,32,2,0.33,44.5,38.65,2.75,10.0,24.0,21.0,10.0,180.0,180.0,180.0,180.0,0.0018333333333333335,0.24722222222222223,0.2147222222222222,0.015277777777777777,0.4790555555555555,80,10,10,10,10,4,2,4,0,10,120,16
9,26,4,32,10.75,41.5,4.0,38.65,10.0,23.0,10.0,21.0,180.0,180.0,180.0,180.0,0.059722222222222225,0.23055555555555557,0.022222222222222223,0.2147222222222222,0.5272222222222223,80,10,10,10,10,4,2,4,0,10,120,16
32,18,2,31,38.65,21.25,2.75,44.5,22.0,12.0,10.0,25.0,180.0,180.0,180.0,180.0,0.2147222222222222,0.11805555555555555,0.015277777777777777,0.24722222222222223,0.5952777777777778,85,10,10,10,10,4,2,4,0,10,120,16
34,3,31,12,45.75,2.0,44.5,14.25,25.0,10.0,25.0,10.0,180.0,180.0,180.0,180.0,0.25416666666666665,0.011111111111111112,0.24722222222222223,0.07916666666666666,0.5916666666666666,85,10,10,10,10,4,2,4,0,10,120,16
24,38,21,22,33.0,66.75,28.0,32.58,21.0,43.0,18.0,21.0,180.0,180.0,180.0,180.0,0.18333333333333332,0.37083333333333335,0.15555555555555556,0.181,0.8907222222222222,120,10,10,10,10,4,2,4,0,10,120,16
4,4,30,17,4.0,5.5,33.5,30.5,10.0,10.0,15.0,14.0,180.0,180.0,180.0,180.0,0.022222222222222223,0.030555555555555555,0.18611111111111112,0.16944444444444445,0.4083333333333333,65,10,10,10,10,4,2,4,0,10,120,16
38,26,0,29,51.25,41.5,0.0,41.25,36.0,29.0,10.0,29.0,180.0,180.0,180.0,180.0,0.2847222222222222,0.23055555555555557,0.0,0.22916666666666666,0.7444444444444444,120,10,10,10,10,4,2,4,0,10,120,16
24,0,25,24,29.0,0.0,37.25,38.0,15.0,10.0,19.0,20.0,180.0,180.0,180.0,180.0,0.16111111111111112,0.0,0.20694444444444443,0.2111111111111111,0.5791666666666667,80,10,10,10,10,4,2,4,0,10,120,16
24,16,9,21,33.0,24.75,12.5,28.0,17.0,12.0,10.0,14.0,180.0,180.0,180.0,180.0,0.18333333333333332,0.1375,0.06944444444444445,0.15555555555555556,0.5458333333333333,70,10,10,10,10,4,2,4,0,10,120,16
38,16,5,12,66.75,20.5,10.5,25.25,44.0,13.0,10.0,17.0,180.0,180.0,180.0,180.0,0.37083333333333335,0.11388888888888889,0.058333333333333334,0.14027777777777778,0.6833333333333333,100,10,10,10,10,4,2,4,0,10,120,16
31,21,12,7,44.5,28.0,19.5,11.0,24.0,15.0,10.0,10.0,180.0,180.0,180.0,180.0,0.24722222222222223,0.15555555555555556,0.10833333333333334,0.06111111111111111,0.5722222222222222,75,10,10,10,10,4,2,4,0,10,120,16
1,25,12,7,1.0,37.25,19.5,11.0,10.0,20.0,12.0,10.0,180.0,180.0,180.0,180.0,0.005555555555555556,0.20694444444444443,0.10833333333333334,0.06111111111111111,0.3819444444444444,65,10,10,10,10,4,2,4,0,10,120,16
4,29,9,21,5.5,41.25,12.5,28.0,10.0,21.0,10.0,14.0,180.0,180.0,180.0,180.0,0.030555555555555555,0.22916666666666666,0.06944444444444445,0.15555555555555556,0.48472222222222217,70,10,10,10,10,4,2,4,0,10,120,16
24,3,10,4,33.0,2.0,14.25,4.0,20.0,10.0,10.0,10.0,180.0,180.0,180.0,180.0,0.18333333333333332,0.011111111111111112,0.07916666666666666,0.022222222222222223,0.2958333333333333,65,10,10,10,10,4,2,4,0,10,120,16
3,1,27,5,3.0,1.0,42.33,10.5,10.0,10.0,22.0,10.0,180.0,180.0,180.0,180.0,0.016666666666666666,0.005555555555555556,0.23516666666666666,0.058333333333333334,0.31572222222222224,65,10,10,10,10,4,2,4,0,10,120,16
24,0,29,38,38.0,0.0,41.25,66.75,24.0,10.0,27.0,43.0,180.0,180.0,180.0,180.0,0.2111111111111111,0.0,0.22916666666666666,0.37083333333333335,0.8111111111111111,120,10,10,10,10,4,2,4,0,10,120,16
16,26,24,21,23.0,41.5,33.0,28.0,15.0,28.0,22.0,19.0,180.0,180.0,180.0,180.0,0.12777777777777777,0.23055555555555557,0.18333333333333332,0.15555555555555556,0.6972222222222222,100,10,10,10,10,4,2,4,0,10,120,16
24,42,9,17,29.0,56.5,12.5,30.5,21.0,41.0,10.0,22.0,180.0,180.0,180.0,180.0,0.16111111111111112,0.3138888888888889,0.06944444444444445,0.16944444444444445,0.7138888888888888,110,10,10,10,10,4,2,4,0,10,120,16
9,16,24,37,10.75,23.0,29.0,50.33,10.0,14.0,17.0,29.0,180.0,180.0,180.0,180.0,0.059722222222222225,0.12777777777777777,0.16111111111111112,0.2796111111111111,0.6282222222222222,85,10,10,10,10,4,2,4,0,10,120,16
24,12,26,42,26.5,19.5,41.5,65.0,18.0,13.0,28.0,44.0,180.0,180.0,180.0,180.0,0.14722222222222223,0.10833333333333334,0.23055555555555557,0.3611111111111111,0.8472222222222222,120,10,10,10,10,4,2,4,0,10,120,16
24,25,17,14,33.0,36.0,26.5,22.25,19.0,21.0,16.0,13.0,180.0,180.0,180.0,180.0,0.18333333333333332,0.2,0.14722222222222223,0.12361111111111112,0.6541666666666667,85,10,10,10,10,4,2,4,0,10,120,16
0,27,0,24,0.0,42.33,0.0,38.0,10.0,21.0,10.0,18.0,180.0,180.0,180.0,180.0,0.0,0.23516666666666666,0.0,0.2111111111111111,0.4462777777777778,75,10,10,10,10,4,2,4,0,10,120,16
30,0,29,30,43.75,0.0,41.25,33.5,25.0,10.0,24.0,20.0,180.0,180.0,180.0,180.0,0.24305555555555555,0.0,0.22916666666666666,0.18611111111111112,0.6583333333333333,95,10,10,10,10,4,2,4,0,10,120,16
27,37,27,38,31.83,50.33,42.33,51.25,19.0,30.0,25.0,30.0,180.0,180.0,180.0,180.0,0.17683333333333331,0.2796111111111111,0.23516666666666666,0.2847222222222222,0.9763333333333333,120,10,10,10,10,4,2,4,0,10,120,16
0,24,34,1,0.0,38.0,45.75,1.0,10.0,18.0,22.0,10.0,180.0,180.0,180.0,180.0,0.0,0.2111111111111111,0.25416666666666665,0.005555555555555556,0.4708333333333333,75,10,10,10,10,4,2,4,0,10,120,16
24,0,16,16,29.0,0.0,23.0,17.0,14.0,10.0,11.0,11.0,180.0,180.0,180.0,180.0,0.16111111111111112,0.0,0.12777777777777777,0.09444444444444444,0.3833333333333333,60,10,10,10,10,4,2,4,0,10,120,16
25,18,37,29,36.0,28.75,50.33,41.25,24.0,19.0,33.0,27.0,180.0,180.0,180.0,180.0,0.2,0.1597222222222222,0.2796111111111111,0.22916666666666666,0.8684999999999999,120,10,10,10,10,4,2,4,0,10,120,16
24,14,24,29,29.0,22.25,33.0,41.25,19.0,15.0,22.0,28.0,180.0,180.0,180.0,180.0,0.16111111111111112,0.12361111111111112,0.18333333333333332,0.22916666666666666,0.6972222222222222,100,10,10,10,10,4,2,4,0,10,120,16
16,21,2,27,23.0,28.0,2.75,34.25,12.0,14.0,10.0,18.0,180.0,180.0,180.0,180.0,0.12777777777777777,0.15555555555555556,0.015277777777777777,0.19027777777777777,0.4888888888888889,70,10,10,10,10,4,2,4,0,10,120,16
32,30,21,17,38.65,43.75,28.0,30.5,29.0,32.0,21.0,23.0,180.0,180.0,180.0,180.0,0.2147222222222222,0.24305555555555555,0.15555555555555556,0.16944444444444445,0.7827777777777778,120,10,10,10,10,4,2,4,0,10,120,16
1,19,24,4,1.0,26.75,33.0,4.0,10.0,16.0,19.0,10.0,180.0,180.0,180.0,180.0,0.005555555555555556,0.1486111111111111,0.18333333333333332,0.022222222222222223,0.3597222222222222,70,10,10,10,10,4,2,4,0,10,120,16
16,12,0,29,24.75,25.25,0.0,41.25,12.0,12.0,10.0,20.0,180.0,180.0,180.0,180.0,0.1375,0.14027777777777778,0.0,0.22916666666666666,0.5069444444444444,70,10,10,10,10,4,2,4,0,10,120,16
2,1,9,37,2.75,1.0,10.75,53.25,10.0,10.0,10.0,27.0,180.0,180.0,180.0,180.0,0.015277777777777777,0.005555555555555556,0.059722222222222225,0.29583333333333334,0.3763888888888889,70,10,10,10,10,4,2,4,0,10,120,16
25,2,24,24,37.25,2.75,26.5,38.0,20.0,10.0,14.0,20.0,180.0,180.0,180.0,180.0,0.20694444444444443,0.015277777777777777,0.14722222222222223,0.2111111111111111,0.5805555555555556,80,10,10,10,10,4,2,4,0,10,120,16
3,37,16,29,3.0,53.25,23.0,41.25,10.0,34.0,15.0,26.0,180.0,180.0,180.0,180.0,0.016666666666666666,0.29583333333333334,0.12777777777777777,0.22916666666666666,0.6694444444444444,100,10,10,10,10,4,2,4,0,10,120,16
4,24,7,37,5.5,26.5,11.0,50.33,10.0,14.0,10.0,26.0,180.0,180.0,180.0,180.0,0.030555555555555555,0.14722222222222223,0.06111111111111111,0.2796111111111111,0.5185,75,10,10,10,10,4,2,4,0,10,120,16
14,17,18,24,22.25,30.5,21.25,29.0,12.0,16.0,11.0,15.0,180.0,180.0,180.0,180.0,0.12361111111111112,0.16944444444444445,0.11805555555555555,0.16111111111111112,0.5722222222222222,70,10,10,10,10,4,2,4,0,10,120,16
24,24,2,10,38.0,32.25,2.75,14.25,19.0,16.0,10.0,10.0,180.0,180.0,180.0,180.0,0.2111111111111111,0.17916666666666667,0.015277777777777777,0.07916666666666666,0.4847222222222222,70,10,10,10,10,4,2,4,0,10,120,16
38,30,26,3,66.75,43.75,41.5,2.0,41.0,27.0,26.0,10.0,180.0,180.0,180.0,180.0,0.37083333333333335,0.24305555555555555,0.23055555555555557,0.011111111111111112,0.8555555555555556,120,10,10,10,10,4,2,4,0,10,120,16
4,9,3,7,4.0,12.5,2.0,11.0,10.0,11.0,10.0,13.0,180.0,180.0,180.0,180.0,0.022222222222222223,0.06944444444444445,0.011111111111111112,0.06111111111111111,0.1638888888888889,50,10,10,10,10,4,2,4,0,10,120,16
0,17,5,14,0.0,30.5,10.5,22.25,10.0,14.0,10.0,11.0,180.0,180.0,180.0,180.0,0.0,0.16944444444444445,0.058333333333333334,0.12361111111111112,0.3513888888888889,60,10,10,10,10,4,2,4,0,10,120,16
26,16,12,0,41.5,20.5,14.25,0.0,22.0,10.0,10.0,10.0,180.0,180.0,180.0,180.0,0.23055555555555557,0.11388888888888889,0.07916666666666666,0.0,0.4236111111111111,70,10,10,10,10,4,2,4,0,10,120,16
38,0,24,10,51.25,0.0,38.0,14.25,29.0,10.0,21.0,10.0,180.0,180.0,180.0,180.0,0.2847222222222222,0.0,0.2111111111111111,0.07916666666666666,0.575,85,10,10,10,10,4,2,4,0,10,120,16
34,7,7,30,45.75,11.0,11.0,43.75,27.0,10.0,10.0,26.0,180.0,180.0,180.0,180.0,0.25416666666666665,0.06111111111111111,0.06111111111111111,0.24305555555555555,0.6194444444444445,90,10,10,10,10,4,2,4,0,10,120,16
14,1,24,27,22.25,0.33,33.0,42.33,11.0,10.0,17.0,21.0,180.0,180.0,180.0,180.0,0.12361111111111112,0.0018333333333333335,0.18333333333333332,0.23516666666666666,0.5439444444444445,75,10,10,10,10,4,2,4,0,10,120,16
0,12,42,25,0.0,19.5,56.5,42.5,10.0,13.0,33.0,25.0,180.0,180.0,180.0,180.0,0.0,0.10833333333333334,0.3138888888888889,0.2361111111111111,0.6583333333333333,95,10,10,10,10,4,2,4,0,10,120,16
27,27,16,9,31.83,34.25,20.5,10.75,16.0,17.0,10.0,10.0,180.0,180.0,180.0,180.0,0.17683333333333331,0.19027777777777777,0.11388888888888889,0.059722222222222225,0.5407222222222221,70,10,10,10,10,4,2,4,0,10,120,16
3,38,9,0,2.0,51.25,10.75,0.0,10.0,30.0,10.0,10.0,180.0,180.0,180.0,180.0,0.011111111111111112,0.2847222222222222,0.059722222222222225,0.0,0.35555555555555557,75,10,10,10,10,4,2,4,0,10,120,16
4,37,0,3,5.5,50.33,0.0,3.0,10.0,25.0,10.0,10.0,180.0,180.0,180.0,180.0,0.030555555555555555,0.2796111111111111,0.0,0.016666666666666666,0.3268333333333333,70,10,10,10,10,4,2,4,0,10,120,16
4,9,27,24,5.5,12.5,34.25,33.0,10.0,10.0,18.0,17.0,180.0,180.0,180.0,180.0,0.030555555555555555,0.06944444444444445,0.19027777777777777,0.18333333333333332,0.4736111111111111,70,10,10,10,10,4,2,4,0,10,120,16
4,9,16,31,4.0,12.5,17.0,44.5,10.0,10.0,11.0,22.0,180.0,180.0,180.0,180.0,0.022222222222222223,0.06944444444444445,0.09444444444444444,0.24722222222222223,0.43333333333333335,65,10,10,10,10,4,2,4,0,10,120,16
7,27,37,25,11.0,42.33,53.25,36.0,10.0,30.0,38.0,26.0,180.0,180.0,180.0,180.0,0.06111111111111111,0.23516666666666666,0.29583333333333334,0.2,0.792111111111111,120,10,10,10,10,4,2,4,0,10,120,16
18,27,14,26,21.25,34.25,22.25,41.5,13.0,21.0,14.0,26.0,180.0,180.0,180.0,180.0,0.11805555555555555,0.19027777777777777,0.12361111111111112,0.23055555555555557,0.6625000000000001,90,10,10,10,10,4,2,4,0,10,120,16
